file_name,abstimmungstag,polarity,subjectivity
18730518_Amtsblatt.pdf,1873.05.18,0.002231087470449173,0.0002955082742316785
18930820_Amtsblatt.pdf,1893.08.20,0.010753931544865862,0.01267345050878816
20110213_Bundesrat.pdf,2011.02.13,0.09390096618357485,0.036231884057971016
20100926_Bundesrat.pdf,2010.09.26,0.03975563909774435,0.020676691729323307
19900923_Bundesrat.pdf,1990.09.23,0.0,0.0
19831204_Bundesrat.pdf,1983.12.04,0.17471264367816086,0.05517241379310345
19990207_Bundesrat.pdf,1999.02.07,0.07567869415807559,0.06512027491408934
19020427_Amtsblatt.pdf,1902.04.27,0.006436612824278023,0.0014684287812041115
20030518_Bundesrat.pdf,2003.05.18,0.05747184684684695,0.04816066066066066
18790504_Amtsblatt.pdf,1879.05.04,0.007484076433121019,0.0
18830527_Amtsblatt.pdf,1883.05.27,0.017305871212121213,0.0062689393939393935
20070617_Bundesrat.pdf,2007.06.17,0.034472104519774,0.032132768361581916
19620121_Volksabstimmung.pdf,1962.01.21,0.0003412969283276378,0.0
19970928_Zeitung.pdf,1997.09.28,0.11021355617455898,0.022098421541318476
19501203_Volksabstimmung.pdf,1950.12.03,0.003283302063789869,0.0
20090517_Zeitung.pdf,2009.05.17,0.06899999999999999,0.036
19761205_Volksabstimmung.pdf,1976.12.05,0.025055555555555557,0.016111111111111114
19340708_Volksabstimmung.pdf,1934.07.08,0.02421875,0.010298295454545454
19691130_Volksabstimmung.pdf,1969.11.30,0.028836438923395453,0.015486542443064182
20040924_Bundesrat.pdf,2004.09.24,0.14332175925925938,0.029166666666666667
20090517_Bundesrat.pdf,2009.05.17,0.10919999999999996,0.020722222222222222
18880715_Volksabstimmung.pdf,1888.07.15,0.03864311315924218,0.02462877624167947
19661016_Volksabstimmung.pdf,1966.10.16,0.01739894551845342,0.0035149384885764497
19091212_Amtsblatt.pdf,1909.12.12,0.01331987891019171,0.002993609149007736
19701115_Volksabstimmung.pdf,1970.11.15,0.12048138056312449,0.034968210717529515
19651003_Volksabstimmung.pdf,1965.10.03,0.020177451718083796,0.017231000752445443
18980703_Volksabstimmung.pdf,1898.07.03,0.07959047619047628,0.03641269841269841
19720604_Volksabstimmung.pdf,1972.06.04,0.05267543859649122,0.01649122807017544
19931128_Zeitung.pdf,1993.11.28,0.08063012677106636,0.029455630126771066
19660206_Volksabstimmung.pdf,1966.02.06,0.03586242912563418,0.01628767532079976
19830227_Bundesrat.pdf,1983.02.27,0.1009090909090909,0.04141414141414141
20020113_Zeitung.pdf,2002.01.13,0.05783687943262411,0.034278959810874705
19330423_Volksabstimmung.pdf,1933.04.23,0.026486280487804867,0.0063008130081300805
18750627_Amtsblatt.pdf,1875.06.27,0.017675466838377323,0.00128783000643915
19251206_Volksabstimmung.pdf,1925.12.06,0.00836187214611872,0.01204337899543379
19470928_Volksabstimmung.pdf,1947.09.28,-0.0020305034913634694,0.005880191106210951
19930606_Zeitung.pdf,1993.06.06,0.10387359836901122,0.04607543323139653
18951222_Amtsblatt.pdf,1895.12.22,0.013677336276674019,0.012522075055187636
20040926_Zeitung.pdf,2004.09.26,0.05449134199134199,0.020923520923520927
20021124_Zeitung.pdf,2002.11.24,0.13733552631578952,0.028289473684210528
19251206_Amtsblatt.pdf,1925.12.06,0.002599909173478655,0.0044277929155313355
19871206_Volksabstimmung.pdf,1987.12.06,-0.125,0.0
19860928_Bundesrat.pdf,1986.09.28,0.08966244725738391,0.04746835443037975
19960922_Zeitung.pdf,1996.09.22,0.10393454038997213,0.01624883936861653
19860316_Volksabstimmung.pdf,1986.03.16,0.011639344262295072,0.0
19900401_Volksabstimmung.pdf,1990.04.01,0.08254036908881211,0.00922722029988466
19021026_Volksabstimmung.pdf,1902.10.26,0.030171635049683825,0.00984643179765131
19110129_Amtsblatt.pdf,1911.01.29,0.017063200815494388,0.011406727828746181
19190928_Amtsblatt.pdf,1919.09.28,0.02978912601626016,0.007621951219512195
19790520_Volksabstimmung.pdf,1979.05.20,0.049093137254902004,0.029313725490196077
19890924_Zeitung.pdf,1989.09.24,0.07948859455481974,0.026416482707873435
18821126_Amtsblatt.pdf,1882.11.26,0.028663479052823314,0.004735883424408015
19321120_Volksabstimmung.pdf,1932.11.20,0.022537385431741434,0.011915098890496866
18970627_Volksabstimmung.pdf,1897.06.27,0.003862328463922087,0.028596724214254098
18770415_Volksabstimmung.pdf,1877.04.15,-0.009805555555555555,0.023
19390521_Volksabstimmung.pdf,1939.05.21,0.04678081474499951,0.012828568436485496
18850705_Amtsblatt.pdf,1885.07.05,0.023164849686157906,0.009018830525272546
20060521_Bundesrat.pdf,2006.05.21,0.1987268518518518,0.020833333333333332
19850922_Bundesrat.pdf,1985.09.22,0.0641103896103896,0.030129870129870128
20050925_Zeitung.pdf,2005.09.25,0.05734265734265735,0.04289044289044289
19950312_Zeitung.pdf,1995.03.12,0.06618806306306309,0.033671171171171174
19541205_Volksabstimmung.pdf,1954.12.05,0.017000242600679276,0.01118389131489568
19830227_Zeitung.pdf,1983.02.27,0.09644163150492258,0.04430379746835443
19050430_Volksabstimmung.pdf,1905.04.30,0.13359803921568625,0.04
19901202_Volksabstimmung.pdf,1990.12.02,-0.045220220220220216,0.013013013013013013
19490911_Volksabstimmung.pdf,1949.09.11,0.04066985645933013,0.014354066985645933
19220219_Volksabstimmung.pdf,1922.02.19,0.05658678286129265,0.019317356572258533
19921206_Bundesrat.pdf,1992.12.06,0.0,0.0
18960531_Amtsblatt.pdf,1896.05.31,0.0028811856317508184,0.012597337352424015
